,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,genre,kind
6,mois,month
7,frère,brother
8,laisser,let
9,car,because
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,longtemps,long time
20,heures,hours
21,vont,will
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,donner,give
33,type,type
34,leurs,their
35,donné,given
36,corps,body
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,trouve,find
42,premier,first
43,perdu,lost
44,main,hand
45,première,first
46,côté,side
47,pouvoir,power
48,vieux,old
49,sois,be
50,tiens,here
51,matin,morning
52,tellement,so much
53,enfant,child
54,point,point
55,venu,came
56,pardon,sorry
57,venez,come
58,devant,in front of
59,vers,towards
60,minutes,minutes
61,demandé,request
62,chambre,bedroom
63,belle,beautiful
64,droit,law
65,aujourd'hui,today
66,mari,husband
67,cause,cause
68,enfin,finally
69,espère,hope
70,eau,water
71,attendez,Wait
72,parti,left
73,nouvelle,new
74,boulot,job
75,arrêter,Stop
76,dirait,would say
77,terre,Earth
78,compte,account
79,donne,given
80,loin,far
81,fin,end
82,croire,believe
83,chérie,sweetheart
84,gros,large
85,plutôt,rather
86,aura,will have
87,filles,girls
88,jouer,to play
89,bureau,office
